405.83,4869.90,1.58,2.46,13.80,3.13,59957.29,24353.0000,0.00,59.9573,0.00
740.85,8890.16,1.62,2.70,20.27,4.49,119928.49,22228.5000,3145.50,59.9642,0.00
1512.27,18147.24,1.63,2.64,42.20,3.25,239835.14,22687.2500,523.98,59.9588,0.00
205.04,3280.59,2.49,4.87,21.80,7.30,59974.29,12304.0000,0.00,59.9743,0.00
509.03,8144.46,2.30,3.93,41.38,5.99,119936.48,15273.0000,128.00,59.9682,0.00
750.74,12011.84,2.53,5.33,51.39,12.08,239904.18,11262.7500,86.61,59.9760,0.00

452.80,2716.81,0.88,2.21,24.44,3.30,59942.27,27172.0000,0.00,59.9423,0.00
1115.66,6693.96,0.80,1.79,27.92,3.02,119865.62,33474.5000,809.50,59.9328,0.00


